본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,백본SO팀,교대근무자,야,야(상),야,8,5.5,0.0,야간 상황장,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,야(상)-1,야-1인,8,5.5,0.0,분당국사 야간 상황장 1인 근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,야-1,야-1인,8,5.5,0.0,분당국사 야간 1인 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,야,야-A,야,8,5.5,0.0,야간 A자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,야,야-A(상),야,8,5.5,0.0,야간 상황장,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,야-B,야,8,5.5,0.0,야간 B자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,야,야-C,야,8,5.5,0.0,야간 C자리,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,야,접종1(야),휴,0,0.0,0.0,야간근무에 접종1차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,접종2(야),휴,0,0.0,0.0,야간근무에 접종2차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,접종3(야),휴,0,0.0,0.0,야간근무에 접종3차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,주대(야),주,8,0.0,0.0,야근에 주간 대체근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,주대(야)-H,주(대체),8,0.0,0.0,야간패턴에 주간 대체근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,야,휴가(야),휴,0,0.0,0.0,야간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,야,휴경(야),휴,0,0.0,0.0,야간패턴에 휴가,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,건반(주),휴,4,0.0,0.0,건강검진 후 반차,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,경조휴(주),휴,0,0.0,0.0,경조휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,공가(주),휴,0,0.0,0.0,주간패턴에 공무휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,대휴(주),대휴,0,0.0,0.0,주간패턴에 대체휴가,박운제 (백본SO팀),2023-12-30 18:20:22
SO,백본SO팀,교대근무자,주,병가(주),휴,0,0.0,0.0,병가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,숙대(주),숙(대체),0,0.0,0.0,주간패턴에 숙휴 대체근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,야대(주),야(대체),8,5.5,0.0,주간패턴에 야간 대체근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,야대(주)-1,야(대체)-1인,8,5.5,0.0,분당국사 주간패턴에 야간 대체 1인근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,접종1(주),휴,0,0.0,0.0,주간근무에 접종1차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,접종2(주),휴,0,0.0,0.0,주간근무에 접종2차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,접종3(주),휴,0,0.0,0.0,주간근무에 접종3차 휴가,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(검),주,8,0.0,0.0,기간망 작업검토 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주(검)-H,주-재택,8,0.0,0.0,기간망 작업검토 재택 근무,ITOS 시스템,2023-12-28 23:25:27
SO,백본SO팀,교대근무자,주,주(교육),주,8,0.0,0.0,주간 교육,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(국),주,8,0.0,0.0,주간 국데이터 업무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(국데_교),주,8,0.0,0.0,주간 국데이터 업무 교육,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(백본),주,8,0.0,0.0,주간 백본망 Multi 근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(백본_교),주,8,0.0,0.0,주간 백본망 Multi 근무,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(상),주,8,0.0,0.0,주간 상황장,ITOS 시스템,2023-12-28 23:25:26
SO,백본SO팀,교대근무자,주,주(센),주,8,0.0,0.0,기간망 센싱 근무,ITOS 시스템,2023-12-28 23:25:27
