본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
SO,성수SO팀,교대근무자,주,1,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,2,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,2,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:08:33
SO,성수SO팀,교대근무자,주,3,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:08:52
SO,성수SO팀,교대근무자,주,3,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,3(국),주,8,0.0,0.0,3번국데이터(교대근무자),이승일 (성수SO팀),2024-11-22 18:00:23
SO,성수SO팀,교대근무자,주,4,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:09:16
SO,성수SO팀,교대근무자,주,4,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,4(국),주,8,0.0,0.0,4번국데이터검증(교대근무),이승일 (성수SO팀),2024-11-22 18:01:57
SO,성수SO팀,교대근무자,주,5,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:09:44
SO,성수SO팀,교대근무자,주,5,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,6,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,6,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:10:02
SO,성수SO팀,교대근무자,주,7,주,8,0.0,0.0,,오아라 (SO기술팀),2021-07-23 15:41:30
SO,성수SO팀,교대근무자,주,8,주,8,0.0,0.0,,오아라 (SO기술팀),2021-07-23 15:42:42
SO,성수SO팀,교대근무자,주,검진,휴,4,0.0,0.0,오전검진 + 오후반차,오아라 (SO기술팀),2021-07-27 14:30:14
SO,성수SO팀,교대근무자,주,경조,휴,0,0.0,0.0,유급 경조 휴가,오아라 (SO기술팀),2021-09-24 09:57:17
SO,성수SO팀,교대근무자,주,고,주,8,0.0,0.0,,ITOS 시스템,2021-07-08 15:15:45
SO,성수SO팀,교대근무자,주,고,주,8,0.0,0.0,,이승일 (성수SO팀),2022-08-28 08:10:27
SO,성수SO팀,교대근무자,주,공휴(주),휴,0,0.0,0.0,교대근무자 공휴 주간 패턴,이승일 (성수SO팀),2023-06-01 18:24:43
SO,성수SO팀,교대근무자,주,국,주,8,0.0,0.0,국데이터 검증,이승일 (성수SO팀),2022-05-23 06:39:15
SO,성수SO팀,교대근무자,주,대체(주),대휴,0,0.0,0.0,주간근무에 대체휴가,이승일 (성수SO팀),2023-05-31 16:16:48
