본부 구분,팀 구분,근무형태,Opark 근무기호,팀 근무기호,실제 근무,법정 근로시간,연장 근로시간,소정 근로시간,비고,등록자,등록시간
전사,-,선택근무제,주,접5,휴,0,0.0,8.0,접종휴가 5차,채수민 (SO관제팀),2022-12-05 08:18:13
전사,-,선택근무제,주,주,주,0,0.0,8.0,주간 근무,채수민 (SO관제팀),2021-06-23 23:20:59
전사,-,선택근무제,휴,휴,휴,0,0.0,8.0,공휴일 휴무,채수민 (SO관제팀),2022-08-18 00:43:18
SO,동부SO팀,교대근무자,공휴,약휴,휴,0,0.0,0.0,약정 휴일,오아라 (성수SO팀),2025-01-21 19:14:26
SO,동부SO팀,교대근무자,대휴,대휴,대휴,0,0.0,0.0,대체 휴무,김승수 (부산SO팀),2021-08-23 23:04:27
SO,동부SO팀,교대근무자,비,비,비,0,0.0,0.0,비번,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,비,숙대(비),숙(대체),0,0.0,0.0,비번패턴에 숙휴 대체근무,김승수 (부산SO팀),2021-08-25 14:57:36
SO,동부SO팀,교대근무자,비,야대(비),야(대체),8,5.5,0.0,비번패턴에 야간 대체근무,김승수 (부산SO팀),2021-08-25 14:57:16
SO,동부SO팀,교대근무자,비,작(비),비,0,0.0,0.0,작업 수행 및 스크립트 작성,이주영 (동부SO팀),2025-01-21 18:39:12
SO,동부SO팀,교대근무자,비,작검(비),주(대체),8,0.0,0.0,비번패턴에 주간 대체근무,이주영 (동부SO팀),2025-01-21 18:39:23
SO,동부SO팀,교대근무자,비,주대(비),주(대체),8,0.0,0.0,비번패턴에 주간 대체근무,김승수 (부산SO팀),2021-08-25 14:57:56
SO,동부SO팀,교대근무자,숙,숙,숙,0,0.0,0.0,숙휴,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,야,■,야,8,5.5,0.0,야간,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,야,◆,야,8,5.5,0.0,야간,김선우 (동부SO팀),2023-01-22 17:34:31
SO,동부SO팀,교대근무자,야,●,야,8,5.5,0.0,휴일 야간 근무,이경재 (동부SO팀),2025-01-22 19:17:26
SO,동부SO팀,교대근무자,야,◑,야,8,5.5,0.0,평일 야간,이경재 (동부SO팀),2025-01-22 19:17:50
SO,동부SO팀,교대근무자,주,(s)/??,주,8,0.0,0.0,오전 센싱 / 건강검진,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,(s)/??,주,4,0.0,0.0,센싱 / 오후 반차,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,(s)□,주,8,0.0,0.0,오전 센싱 / 오후 일근,박태웅 (동부SO팀),2023-09-25 14:17:07
SO,동부SO팀,교대근무자,주,(s)◇,주,8,0.0,0.0,센싱/공통 업무,이영일 (부산SO팀),2021-09-24 11:27:05
SO,동부SO팀,교대근무자,주,(s)반,주,4,0.0,0.0,오후반차,김선우 (동부SO팀),2023-12-22 09:25:36
SO,동부SO팀,교대근무자,주,??/??,주,4,0.0,0.0,오전 반차 / 건강검진,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/??,주,4,0.0,0.0,건강검진 / 오후 반차,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/(s),주,4,0.0,0.0,오전 반차 / 센싱,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/(s),주,8,0.0,0.0,건강검진 / 오후 센싱,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/□,주,4,0.0,0.0,오전 반차 / 센텀 일근,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/◇,주,8,0.0,0.0,건강검진 / 오후 공통 업무,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/◇,주,4,0.0,0.0,오전 반차 / 공통 업무,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,??/◎,주,4,0.0,0.0,오전 반차 / 태평 일근,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,□,주,8,0.0,0.0,센텀 일근,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,□(s),주,8,0.0,0.0,오전 일근 / 오후 센싱,박태웅 (동부SO팀),2023-09-25 14:17:28
SO,동부SO팀,교대근무자,주,□/??,주,4,0.0,0.0,센텀 일근 / 오후 반차,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,□/??,주,8,0.0,0.0,오전 일근 / 건강검진,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,□반,주,4,0.0,0.0,오후반차,김선우 (동부SO팀),2023-12-22 09:21:32
SO,동부SO팀,교대근무자,주,□V,주,8,0.0,0.0,일근/VoC,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,□ⓥ,주,8,0.0,0.0,일근/VoC(Main),ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◇(s),주,8,0.0,0.0,공통 업무/센싱,이영일 (부산SO팀),2021-09-24 11:27:19
SO,동부SO팀,교대근무자,주,◇/??,주,8,0.0,0.0,오전 공통 업무 / 건강검진,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◇/??,주,4,0.0,0.0,공통 업무 / 오후 반차,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◇□,주,8,0.0,0.0,주간 일근,박태웅 (동부SO팀),2023-09-25 14:17:52
SO,동부SO팀,교대근무자,주,◇반,주,4,0.0,0.0,오후반차,김선우 (동부SO팀),2023-12-22 09:26:25
SO,동부SO팀,교대근무자,주,○,주,8,0.0,0.0,부암 일근,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◎,주,8,0.0,0.0,주간 근무,이경재 (동부SO팀),2025-01-22 19:12:48
SO,동부SO팀,교대근무자,주,◎/??,주,4,0.0,0.0,태평 일근 / 오후 반차,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◎☎,주,8,0.0,0.0,부암/검토+VoC,이경재 (동부SO팀),2024-10-28 13:10:10
SO,동부SO팀,교대근무자,주,○V,주,8,0.0,0.0,VoC / 부암,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,○ⓥ,주,8,0.0,0.0,부암 / VoC(Main),ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,◎V,주,8,0.0,0.0,태평 / VoC,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,☎,주,8,0.0,0.0,검토 / VoC,김선우 (동부SO팀),2023-12-22 09:14:25
SO,동부SO팀,교대근무자,주,☎◎,주,8,0.0,0.0,검토 VoC,박태웅 (동부SO팀),2024-01-25 13:29:33
SO,동부SO팀,교대근무자,주,☎V,주,8,0.0,0.0,검토 / VoC,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,☎ⓥ,주,8,0.0,0.0,검토 / VoC(Main),ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,☏,주,8,0.0,0.0,검토,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,주,검/반,주,4,0.0,0.0,건강검진 후 반차,김선우 (동부SO팀),2024-04-24 08:39:54
SO,동부SO팀,교대근무자,주,검반,주,4,0.0,0.0,건강검진 후 반차,이영일 (부산SO팀),2021-09-24 09:36:35
SO,동부SO팀,교대근무자,주,검반(주),휴,4,0.0,0.0,교대근무자 건강검진 후 반차,김승수 (부산SO팀),2021-08-25 15:29:51
SO,동부SO팀,교대근무자,주,검진/□,주,8,0.0,0.0,건강검진 / 오후 일근,박태웅 (동부SO팀),2023-07-20 15:10:29
SO,동부SO팀,교대근무자,주,검진/후반,주,4,0.0,0.0,,이영일 (부산SO팀),2022-09-21 08:32:02
SO,동부SO팀,교대근무자,주,교육,주,8,0.0,0.0,교육,이경재 (동부SO팀),2024-03-18 16:29:33
SO,동부SO팀,교대근무자,주,반(s),주,4,0.0,0.0,오전반차,김선우 (동부SO팀),2023-12-22 09:26:00
SO,동부SO팀,교대근무자,주,반□,주,4,0.0,0.0,오전반차,김선우 (동부SO팀),2023-12-22 09:21:50
SO,동부SO팀,교대근무자,주,반◇,주,4,0.0,0.0,오전반차,김선우 (동부SO팀),2023-12-22 09:26:48
SO,동부SO팀,교대근무자,주,병가,휴,0,0.0,0.0,코로나 PCR 검사 양성으로 인한 병가,이영일 (부산SO팀),2022-03-10 09:37:49
SO,동부SO팀,교대근무자,주,작,주,8,0.0,0.0,작업 수행 및 스크립트 작성,이주영 (동부SO팀),2025-01-21 18:39:47
SO,동부SO팀,교대근무자,주,작검,주,8,0.0,0.0,검토 / VoC,이주영 (동부SO팀),2025-01-21 18:39:32
SO,동부SO팀,교대근무자,주,휴가,휴,0,0.0,0.0,"연차, 체력단련 등 휴가",오아라 (SO기술팀),2021-08-24 09:02:15
SO,동부SO팀,교대근무자,주,V,주,8,0.0,0.0,VoC sub,김승수 (부산SO팀),2021-08-25 15:05:01
SO,동부SO팀,교대근무자,주,ⓥ,주,8,0.0,0.0,VoC(Main),ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,교대근무자,휴,경휴,휴,0,0.0,0.0,경조 휴가,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,선택근무제,공휴,◎(휴),주(대체),0,0.0,8.0,공휴일 패턴에 주간 대체근무,이주영 (동부SO팀),2025-01-21 19:14:08
SO,동부SO팀,선택근무제,공휴,●(휴),야(대체),0,0.0,13.5,공휴일 패턴에 야간 대체근무,이주영 (동부SO팀),2025-01-21 19:15:48
SO,동부SO팀,선택근무제,공휴,●(휴),야(대체),0,0.0,13.5,공휴일 패턴에 야간 대체근무,오아라 (성수SO팀),2025-01-21 19:12:34
SO,동부SO팀,선택근무제,비,◎,주(대체),0,8.0,0.0,비번패턴에 주간 대체근무,이주영 (동부SO팀),2025-01-21 18:14:41
SO,동부SO팀,선택근무제,비,●,야(대체),0,13.5,0.0,비번패턴에 야간 대체근무,이주영 (동부SO팀),2025-01-21 18:13:08
SO,동부SO팀,선택근무제,비,비,비,0,0.0,0.0,비번,ITOS 시스템,2021-08-23 19:39:08
SO,동부SO팀,선택근무제,비,숙대(비),숙(대체),0,0.0,0.0,비번패턴에 숙휴 대체근무,김승수 (부산SO팀),2021-08-25 14:57:44
SO,동부SO팀,선택근무제,비,야대(비),야(대체),0,13.5,0.0,비번패턴에 야간 대체근무,김승수 (부산SO팀),2021-08-25 14:57:23
SO,동부SO팀,선택근무제,비,주대(비),주(대체),0,8.0,0.0,비번패턴에 주간 대체근무,김승수 (부산SO팀),2021-08-25 14:58:01
SO,동부SO팀,선택근무제,주,(s)/??,주,0,0.0,8.0,오전 센싱 / 건강검진,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,(s)/??,주,0,0.0,8.0,센싱 / 오후 반차,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,(s)◇,주,0,0.0,8.0,센싱/공통 업무,이영일 (부산SO팀),2021-09-24 11:28:03
SO,동부SO팀,선택근무제,주,(s)반,주,0,0.0,4.0,오후반차,김선우 (동부SO팀),2023-12-22 09:22:37
SO,동부SO팀,선택근무제,주,??/??,주,0,0.0,8.0,오전 반차 / 건강검진,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/??,주,0,0.0,8.0,건강검진 / 오후 반차,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/(s),주,0,0.0,8.0,오전 반차 / 센싱,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/(s),주,0,0.0,8.0,건강검진 / 오후 센싱,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/□,주,0,0.0,8.0,건강검진 / 오후 일근,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/□,주,0,0.0,8.0,오전 반차 / 센텀 일근,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/◇,주,0,0.0,8.0,건강검진 / 오후 공통 업무,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/◇,주,0,0.0,8.0,오전 반차 / 공통 업무,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,??/◎,주,0,0.0,8.0,오전 반차 / 태평 일근,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,■,야(대체),0,0.0,13.5,야간,채수민 (SO관제팀),2021-08-23 22:20:43
SO,동부SO팀,선택근무제,주,□,주,0,0.0,8.0,센텀 일근,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,□/??,주,0,0.0,8.0,오전 일근 / 건강검진,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,□/??,주,0,0.0,8.0,센텀 일근 / 오후 반차,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,□/후반,주,0,0.0,4.0,주간 일근 / 오후 반차,박태웅 (동부SO팀),2023-09-25 14:09:01
SO,동부SO팀,선택근무제,주,□반,주,0,0.0,4.0,오후반차,김선우 (동부SO팀),2023-12-22 09:20:51
SO,동부SO팀,선택근무제,주,□V,주,0,0.0,8.0,일근/VoC,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,□ⓥ,주,0,0.0,8.0,일근/VoC(Main),ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◆,야(대체),0,0.0,13.5,야간,김선우 (동부SO팀),2023-01-22 17:32:18
SO,동부SO팀,선택근무제,주,◇(s),주,0,0.0,8.0,공통 업무/센싱,이영일 (부산SO팀),2021-09-24 11:28:15
SO,동부SO팀,선택근무제,주,◇/??,주,0,0.0,8.0,오전 공통 업무 / 건강검진,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◇/??,주,0,0.0,8.0,공통 업무 / 오후 반차,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◇반,주,0,0.0,4.0,오후반차,김선우 (동부SO팀),2023-12-22 09:22:59
SO,동부SO팀,선택근무제,주,○,주,0,0.0,8.0,부암 일근,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◑,야(대체),0,0.0,13.5,야간,이주영 (동부SO팀),2025-01-21 18:17:32
SO,동부SO팀,선택근무제,주,◎/??,주,0,0.0,8.0,태평 일근 / 오후 반차,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◎☎,주,0,0.0,8.0,부암/검토+VoC,이경재 (동부SO팀),2024-10-28 13:09:19
SO,동부SO팀,선택근무제,주,○V,주,0,0.0,8.0,VoC / 부암,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,○ⓥ,주,0,0.0,8.0,부암 / VoC(Main),ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◎V,주,0,0.0,8.0,태평 / VoC,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,◎ⓥ,주,0,0.0,8.0,태평/voc,김선우 (동부SO팀),2023-04-19 08:57:03
SO,동부SO팀,선택근무제,주,☎,주,0,0.0,8.0,검토 / VoC,김선우 (동부SO팀),2023-12-22 09:11:57
SO,동부SO팀,선택근무제,주,☎◎,주,0,0.0,8.0,,박태웅 (동부SO팀),2024-01-15 15:40:31
SO,동부SO팀,선택근무제,주,☎V,주,0,0.0,8.0,검토 / VoC,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,☎ⓥ,주,0,0.0,8.0,검토 / VoC(Main),ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,☏,주,0,0.0,8.0,검토,ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,검/반,주,0,0.0,8.0,건강검진 + 오후반차,이주영 (동부SO팀),2024-04-24 08:47:01
SO,동부SO팀,선택근무제,주,검반,주,0,0.0,8.0,건강검진/오후반차,김선우 (동부SO팀),2024-06-21 09:16:14
SO,동부SO팀,선택근무제,주,검반(주),휴,0,0.0,8.0,선택근무제 건강검진 후 반차,김승수 (부산SO팀),2021-08-25 15:21:59
SO,동부SO팀,선택근무제,주,검진/□,주,0,0.0,8.0,,이주영 (동부SO팀),2024-08-21 10:20:02
SO,동부SO팀,선택근무제,주,검진/후반,주,0,0.0,4.0,,이영일 (부산SO팀),2022-09-21 08:31:12
SO,동부SO팀,선택근무제,주,교육,주,0,0.0,0.0,교육,이경재 (동부SO팀),2024-03-18 16:34:39
SO,동부SO팀,선택근무제,주,반(s),주,0,0.0,4.0,오전반차,김선우 (동부SO팀),2023-12-22 09:23:42
SO,동부SO팀,선택근무제,주,반□,주,0,0.0,4.0,오전반차,김선우 (동부SO팀),2023-12-22 09:21:11
SO,동부SO팀,선택근무제,주,반◇,주,0,0.0,4.0,오전반차,김선우 (동부SO팀),2023-12-22 09:23:22
SO,동부SO팀,선택근무제,주,병가,휴,0,0.0,8.0,코로나 PCR 검사 양성으로 병가,김선우 (동부SO팀),2023-02-21 14:18:37
SO,동부SO팀,선택근무제,주,숙,숙(대체),0,0.0,0.0,숙휴,채수민 (SO관제팀),2021-08-23 22:21:11
SO,동부SO팀,선택근무제,주,숙대(주),숙(대체),0,0.0,0.0,주간패턴에 숙휴 대체근무,김승수 (부산SO팀),2021-08-25 15:51:10
SO,동부SO팀,선택근무제,주,야대(주),야(대체),0,0.0,13.5,주간패턴에 야간 대체근무,오아라 (SO기술팀),2021-08-26 08:36:28
SO,동부SO팀,선택근무제,주,작,주,0,0.0,8.0,작업 수행 및 스크립트 작성,이주영 (동부SO팀),2025-01-21 18:15:30
SO,동부SO팀,선택근무제,주,작검,주,0,0.0,8.0,검토 / VoC,이주영 (동부SO팀),2025-01-21 18:15:06
SO,동부SO팀,선택근무제,주,재택,주-재택,0,0.0,8.0,재택근무 / 주간,김윤섭 (SO기술팀),2022-03-08 08:58:30
SO,동부SO팀,선택근무제,주,접3,휴,0,0.0,8.0,백신접종 3차,김승수 (부산SO팀),2021-12-23 09:47:48
SO,동부SO팀,선택근무제,주,지원,주,0,0.0,8.0,타팀 업무지원,박태웅 (동부SO팀),2023-07-21 08:17:26
SO,동부SO팀,선택근무제,주,파견,주,0,0.0,8.0,타팀 파견,박태웅 (동부SO팀),2024-05-23 08:58:15
SO,동부SO팀,선택근무제,주,휴가,휴,0,0.0,8.0,"연차,체력단련 등 휴가",ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,주,V,주,0,0.0,8.0,VoC sub,김승수 (부산SO팀),2021-08-25 15:05:16
SO,동부SO팀,선택근무제,주,ⓥ,주,0,0.0,8.0,VoC(Main),ITOS 시스템,2021-08-23 19:39:07
SO,동부SO팀,선택근무제,휴,경휴,휴,0,0.0,8.0,경조 휴가,김승수 (부산SO팀),2021-08-25 15:07:58
SO,동부SO팀,선택근무제,휴,숙대(휴),숙(대체),0,0.0,0.0,공휴일 패턴에 숙휴 대체근무,김승수 (부산SO팀),2021-08-25 15:01:35
SO,동부SO팀,선택근무제,휴,야대(휴),야(대체),0,13.5,0.0,공휴일 패턴에 야간 대체근무,김승수 (부산SO팀),2021-08-25 15:00:50
SO,동부SO팀,선택근무제,휴,주대(휴),주(대체),0,8.0,0.0,공휴일 패턴에 주간 대체근무,김승수 (부산SO팀),2021-08-25 15:01:59
